0,1,2,3,4,5,6,7,8,9
0.266,0.282,0.603,0.501,0.237,0.669,0.454,0.869,0.852,0.924
0.148,0.233,0.591,0.45,0.156,0.58,0.237,0.853,0.58,0.15
0.845,0.009,0.009,0.0,0.605,0.009,0.842,0.0,0.0,0.0
0.0,0.945,0.218,0.014,0.656,0.398,0.0,0.0,0.652,0.0
0.136,0.228,0.0,0.941,0.0,0.002,0.133,0.22,0.776,0.0
0.539,0.883,0.001,0.0,0.905,0.03,0.0,0.032,0.424,0.0
0.007,0.043,0.238,0.809,0.0,0.237,0.0,0.408,0.907,0.0
0.895,0.773,0.418,0.0,0.049,0.536,0.766,0.232,0.124,0.0
0.0,0.803,0.0,0.12,0.768,0.646,0.0,0.246,0.836,0.0
0.001,0.621,0.142,0.501,0.0,0.603,0.0,0.813,0.893,0.0
0.779,0.519,0.33,0.0,0.611,0.058,0.896,0.0,0.004,0.0
0.0,0.461,0.115,0.817,0.0,0.215,0.0,0.309,0.927,0.0
0.0,0.461,0.115,0.817,0.0,0.215,0.0,0.309,0.927,0.0
0.0,0.461,0.115,0.817,0.0,0.215,0.0,0.309,0.927,0.0
